year,best_of,player_ht,player_age,player_rank,player_rank_points,opponent_ht,opponent_age,opponent_rank,opponent_rank_points,label,month,rank_diff,age_diff,height_diff,rank_points_diff,player_is_left,opponent_is_left,rounds_remaining,surface_Clay,surface_Grass,tourney_level_A,tourney_level_F,tourney_level_G,tourney_level_M,tourney_level_O
2013,3,180.0,29.4,60.0,754.0,196.0,23.6,43.0,937.0,1,1,17.0,5.799999999999997,-16.0,-183.0,0,0,5,False,False,True,False,False,False,False
2013,3,196.0,23.6,43.0,937.0,180.0,29.4,60.0,754.0,0,1,-17.0,-5.799999999999997,16.0,183.0,0,0,5,False,False,True,False,False,False,False
2013,3,185.0,25.1,48.0,872.0,183.0,31.0,57.0,769.0,1,1,-9.0,-5.899999999999999,2.0,103.0,0,0,5,False,False,True,False,False,False,False
2013,3,183.0,31.0,57.0,769.0,185.0,25.1,48.0,872.0,0,1,9.0,5.899999999999999,-2.0,-103.0,0,0,5,False,False,True,False,False,False,False
2013,3,188.0,25.0,32.0,1112.0,180.0,22.0,50.0,843.0,1,1,-18.0,3.0,8.0,269.0,1,0,5,False,False,True,False,False,False,False
2013,3,180.0,22.0,50.0,843.0,188.0,25.0,32.0,1112.0,0,1,18.0,-3.0,-8.0,-269.0,0,1,5,False,False,True,False,False,False,False
2013,3,191.0,25.3,70.0,706.0,191.0,25.7,54.0,800.0,1,1,16.0,-0.3999999999999986,0.0,-94.0,0,0,5,False,False,True,False,False,False,False
2013,3,191.0,25.7,54.0,800.0,191.0,25.3,70.0,706.0,0,1,-16.0,0.3999999999999986,0.0,94.0,0,0,5,False,False,True,False,False,False,False
2013,3,193.0,26.3,99.0,555.0,178.0,31.5,65.0,730.0,1,1,34.0,-5.199999999999999,15.0,-175.0,0,0,5,False,False,True,False,False,False,False
2013,3,178.0,31.5,65.0,730.0,193.0,26.3,99.0,555.0,0,1,-34.0,5.199999999999999,-15.0,175.0,0,0,5,False,False,True,False,False,False,False
2013,3,190.0,23.9,373.0,108.0,183.0,31.6,29.0,1177.0,1,1,344.0,-7.700000000000003,7.0,-1069.0,0,1,5,False,False,True,False,False,False,False
2013,3,183.0,31.6,29.0,1177.0,190.0,23.9,373.0,108.0,0,1,-344.0,7.700000000000003,-7.0,1069.0,1,0,5,False,False,True,False,False,False,False
2013,3,190.0,27.6,59.0,756.0,203.0,22.1,26.0,1299.0,1,1,33.0,5.5,-13.0,-543.0,0,0,5,False,False,True,False,False,False,False
2013,3,203.0,22.1,26.0,1299.0,190.0,27.6,59.0,756.0,0,1,-33.0,-5.5,13.0,543.0,0,0,5,False,False,True,False,False,False,False
2013,3,175.0,25.2,104.0,530.0,190.0,28.6,376.0,107.0,1,1,-272.0,-3.400000000000002,-15.0,423.0,1,0,5,False,False,True,False,False,False,False
2013,3,190.0,28.6,376.0,107.0,175.0,25.2,104.0,530.0,0,1,272.0,3.400000000000002,15.0,-423.0,0,1,5,False,False,True,False,False,False,False
2013,3,168.0,31.9,89.0,577.0,188.0,24.9,51.0,830.0,1,1,38.0,7.0,-20.0,-253.0,0,1,5,False,False,True,False,False,False,False
2013,3,188.0,24.9,51.0,830.0,168.0,31.9,89.0,577.0,0,1,-38.0,-7.0,20.0,253.0,1,0,5,False,False,True,False,False,False,False
2013,3,185.0,32.4,62.0,746.0,191.0,23.4,30.0,1175.0,1,1,32.0,9.0,-6.0,-429.0,0,1,5,False,False,True,False,False,False,False
2013,3,191.0,23.4,30.0,1175.0,185.0,32.4,62.0,746.0,0,1,-32.0,-9.0,6.0,429.0,1,0,5,False,False,True,False,False,False,False
2013,3,188.0,25.1,63.0,743.0,178.0,28.3,73.0,701.0,1,1,-10.0,-3.1999999999999993,10.0,42.0,0,0,5,False,False,True,False,False,False,False
2013,3,178.0,28.3,73.0,701.0,188.0,25.1,63.0,743.0,0,1,10.0,3.1999999999999993,-10.0,-42.0,0,0,5,False,False,True,False,False,False,False
2013,3,175.0,30.7,5.0,6505.0,180.0,29.4,60.0,754.0,1,1,-55.0,1.3000000000000007,-5.0,5751.0,0,0,4,False,False,True,False,False,False,False
2013,3,180.0,29.4,60.0,754.0,175.0,30.7,5.0,6505.0,0,1,55.0,-1.3000000000000007,5.0,-5751.0,0,0,4,False,False,True,False,False,False,False
2013,3,185.0,25.1,48.0,872.0,188.0,25.0,32.0,1112.0,1,1,16.0,0.10000000000000142,-3.0,-240.0,0,1,4,False,False,True,False,False,False,False
2013,3,188.0,25.0,32.0,1112.0,185.0,25.1,48.0,872.0,0,1,-16.0,-0.10000000000000142,3.0,240.0,1,0,4,False,False,True,False,False,False,False
2013,3,188.0,34.7,21.0,1681.0,191.0,25.3,70.0,706.0,1,1,-49.0,9.400000000000002,-3.0,975.0,0,0,4,False,False,True,False,False,False,False
2013,3,191.0,25.3,70.0,706.0,188.0,34.7,21.0,1681.0,0,1,49.0,-9.400000000000002,3.0,-975.0,0,0,4,False,False,True,False,False,False,False
2013,3,193.0,26.3,99.0,555.0,190.0,23.9,373.0,108.0,1,1,-274.0,2.400000000000002,3.0,447.0,0,0,4,False,False,True,False,False,False,False
2013,3,190.0,23.9,373.0,108.0,193.0,26.3,99.0,555.0,0,1,274.0,-2.400000000000002,-3.0,-447.0,0,0,4,False,False,True,False,False,False,False
2013,3,175.0,25.2,104.0,530.0,190.0,27.6,59.0,756.0,1,1,45.0,-2.400000000000002,-15.0,-226.0,1,0,4,False,False,True,False,False,False,False
2013,3,190.0,27.6,59.0,756.0,175.0,25.2,104.0,530.0,0,1,-45.0,2.400000000000002,15.0,226.0,0,1,4,False,False,True,False,False,False,False
2013,3,198.0,25.2,22.0,1650.0,168.0,31.9,89.0,577.0,1,1,-67.0,-6.699999999999999,30.0,1073.0,0,0,4,False,False,True,False,False,False,False
2013,3,168.0,31.9,89.0,577.0,198.0,25.2,22.0,1650.0,0,1,67.0,6.699999999999999,-30.0,-1073.0,0,0,4,False,False,True,False,False,False,False
2013,3,185.0,32.4,62.0,746.0,188.0,25.1,63.0,743.0,1,1,-1.0,7.299999999999997,-3.0,3.0,0,0,4,False,False,True,False,False,False,False
2013,3,188.0,25.1,63.0,743.0,185.0,32.4,62.0,746.0,0,1,1.0,-7.299999999999997,3.0,-3.0,0,0,4,False,False,True,False,False,False,False
2013,3,178.0,29.2,19.0,1770.0,185.0,29.1,53.0,821.0,1,1,-34.0,0.09999999999999787,-7.0,949.0,0,1,4,False,False,True,False,False,False,False
2013,3,185.0,29.1,53.0,821.0,178.0,29.2,19.0,1770.0,0,1,34.0,-0.09999999999999787,7.0,-949.0,1,0,4,False,False,True,False,False,False,False
2013,3,175.0,30.7,5.0,6505.0,185.0,25.1,48.0,872.0,1,1,-43.0,5.599999999999998,-10.0,5633.0,0,0,3,False,False,True,False,False,False,False
2013,3,185.0,25.1,48.0,872.0,175.0,30.7,5.0,6505.0,0,1,43.0,-5.599999999999998,10.0,-5633.0,0,0,3,False,False,True,False,False,False,False
2013,3,193.0,26.3,99.0,555.0,188.0,34.7,21.0,1681.0,1,1,78.0,-8.400000000000002,5.0,-1126.0,0,0,3,False,False,True,False,False,False,False
2013,3,188.0,34.7,21.0,1681.0,193.0,26.3,99.0,555.0,0,1,-78.0,8.400000000000002,-5.0,1126.0,0,0,3,False,False,True,False,False,False,False
2013,3,198.0,25.2,22.0,1650.0,175.0,25.2,104.0,530.0,1,1,-82.0,0.0,23.0,1120.0,0,1,3,False,False,True,False,False,False,False
2013,3,175.0,25.2,104.0,530.0,198.0,25.2,22.0,1650.0,0,1,82.0,0.0,-23.0,-1120.0,1,0,3,False,False,True,False,False,False,False
2013,3,178.0,29.2,19.0,1770.0,185.0,32.4,62.0,746.0,1,1,-43.0,-3.1999999999999993,-7.0,1024.0,0,0,3,False,False,True,False,False,False,False
2013,3,185.0,32.4,62.0,746.0,178.0,29.2,19.0,1770.0,0,1,43.0,3.1999999999999993,7.0,-1024.0,0,0,3,False,False,True,False,False,False,False
2013,3,175.0,30.7,5.0,6505.0,193.0,26.3,99.0,555.0,1,1,-94.0,4.399999999999999,-18.0,5950.0,0,0,2,False,False,True,False,False,False,False
2013,3,193.0,26.3,99.0,555.0,175.0,30.7,5.0,6505.0,0,1,94.0,-4.399999999999999,18.0,-5950.0,0,0,2,False,False,True,False,False,False,False
2013,3,178.0,29.2,19.0,1770.0,198.0,25.2,22.0,1650.0,1,1,-3.0,4.0,-20.0,120.0,0,0,2,False,False,True,False,False,False,False
2013,3,198.0,25.2,22.0,1650.0,178.0,29.2,19.0,1770.0,0,1,3.0,-4.0,20.0,-120.0,0,0,2,False,False,True,False,False,False,False
2013,3,175.0,30.7,5.0,6505.0,178.0,29.2,19.0,1770.0,1,1,-14.0,1.5,-3.0,4735.0,0,0,1,False,False,True,False,False,False,False
2013,3,178.0,29.2,19.0,1770.0,175.0,30.7,5.0,6505.0,0,1,14.0,-1.5,3.0,-4735.0,0,0,1,False,False,True,False,False,False,False
2013,3,185.0,31.0,35.0,1075.0,180.0,26.9,45.0,915.0,1,1,-10.0,4.100000000000001,5.0,160.0,0,0,5,False,False,True,False,False,False,False
2013,3,180.0,26.9,45.0,915.0,185.0,31.0,35.0,1075.0,0,1,10.0,-4.100000000000001,-5.0,-160.0,0,0,5,False,False,True,False,False,False,False
2013,3,185.0,34.1,34.0,1090.0,188.0,29.5,81.0,657.0,1,1,-47.0,4.600000000000001,-3.0,433.0,0,0,5,False,False,True,False,False,False,False
2013,3,188.0,29.5,81.0,657.0,185.0,34.1,34.0,1090.0,0,1,47.0,-4.600000000000001,3.0,-433.0,0,0,5,False,False,True,False,False,False,False
2013,3,185.0,26.3,46.0,897.0,183.0,20.9,223.0,210.0,1,1,-177.0,5.400000000000002,2.0,687.0,0,0,5,False,False,True,False,False,False,False
